Community Area Number,Community Name,2022 ACS Population
1,Rogers Park,55711
2,West Ridge,79265
3,Uptown,57464
4,Lincoln Square,42271
5,North Center,35814
6,Lake View,101739
7,Lincoln Park,69099
8,Near North 1,101208
9,Edison Park,11402
10,Norwood Park,39671
11,Jefferson Park,27032
12,Forest Glen,19855
13,North Park,19398
14,Albany Park,47663
15,Portage Park,64213
16,Irving Park,53584
17,Dunning,42574
18,Montclare,13765
19,Belmont Cragin,73991
20,Hermosa,23157
21,Avondale,36374
22,Logan Square,71384
23,Humboldt Park,55416
24,West Town,86350
25,Austin,100120
26,West Garfield 19,16374
27,East Garfield 23157,19901
28,Near West 36374,65581
29,North Lawndale,30409
30,South Lawndale,69708
31,Lower West,34237
32,Loop,41671
33,Near South,28216
34,Armour Square,13193
35,Douglas,21355
36,Oakland,6977
37,Fuller Park,2233
38,Grand Boulevard,24813
39,Kenwood,18637
40,Washington Park,12366
41,Hyde Park,29559
42,Woodlawn,24223
43,South Shore,55396
44,Chatham,31341
45,Avalon Park,9647
46,South Chicago,30315
47,Burnside,2246
48,Calumet Heights,12087
49,Roseland,37610
50,Pullman,6856
51,South Deering,15218
52,East Side,23942
53,West Pullman,25449
54,Riverdale,7817
55,Hegewisch,9025
56,Garfield Ridge,36401
57,Archer Heights,13867
58,Brighton Park,42243
59,McKinley Park,15479
60,Bridgeport,33221
61,New City,40957
62,West Elsdon,18366
63,Gage Park,34788
64,Clearing,24728
65,West Lawn,32594
66,Chicago Lawn,52464
67,West Englewood,25772
68,Englewood,21378
69,Greater Grand,28991
70,Ashburn,42745
71,Auburn Gresham,46468
72,Beverly,19781
73,Washington Heights,26456
74,Mount Greenwood,19121
75,Morgan Park,20718
76,O'Hare,14024
77,Edgewater,56099
